sentence1,sentence2,score
"Vâng, tôi cũng không nghĩ điều này gây tranh cãi.",Tôi không nghĩ những gì cô ấy nói gây tranh cãi.,3.8
Chiến dịch Chaos chỉ đơn thuần là mọi người bỏ phiếu.,Sự hỗn loạn chỉ đơn thuần là mọi người bỏ phiếu.,4.0
Ban đầu được đăng bởi JonD Doubtful.,Ban đầu được đăng bởi eleanor.ellis,1.2
Khí cổ điển Chúng ta đều là những con tàu chứa đầy nhiều điều kỳ diệu.,Bài hát chủ đề cho Cheers: Tất cả chúng ta đều là những con tàu chứa đầy nhiều điều kỳ diệu.,3.0
Xin nhắc lại: Họ KHÔNG có chủ quyền như trước đây.,Họ KHÔNG có chủ quyền như trước đây.,4.5
Đạo đức hoàn toàn không liên quan gì đến nó!,Và đạo đức và sự trung thực có tất cả mọi thứ để làm với nó.,2.0
Tôi đang có cuộc trò chuyện sẽ Cornell West Anh trai thân mến của tôi.,Tôi đang có cuộc trò chuyện sẽ Cornell West Đây là cái quái gì vậy?,3.0
Không có chiến tranh ở Trung Đông.,"Không có \""CHIẾN TRANH\"" ở Trung Đông.",4.6
Hắn không có ý định bắt hắn.,- Ta không nói hắn định bắt hắn.,2.4
Tất cả chúng ta đều là những con tàu chứa đầy nhiều điều kỳ diệu.,Đặt một chút tình yêu trong trái tim của bạn Tất cả chúng ta đều là những con tàu chứa đầy nhiều điều kỳ diệu.,3.6
"Bạn là \""một loạt các tế bào.\""","Tôi là \""một đám tế bào\"".",2.4
Một cô gái thụt rửa là gì?,Bạn là một cô gái thụt rửa.,1.4
Vô hiệu hóa bồi thẩm đoàn có nghĩa là một đạo luật không phải là Hiến pháp?,Không. Vô hiệu hóa bồi thẩm đoàn không có nghĩa là một luật là không có lương tâm.,2.0
Nó chắc chắn KHÔNG phải là những gì nó đã từng.,bình chọn Đã bình chọn Nó chắc chắn KHÔNG còn như trước đây.,4.0
Trách nhiệm thuộc về nhà sản xuất một sản phẩm để thuyết phục người tiêu dùng rằng nó an toàn.,Nhà sản xuất phải thuyết phục chính phủ rằng nó an toàn.,3.4
Tôi nghĩ rằng bạn đang thiếu điểm với các doanh nhân.,Một lần nữa tôi nghĩ rằng bạn đang thiếu điểm trong trích dẫn của Twain.,0.8
"\""Cyclops không tồn tại\"" - tốt.","\""Goblin không tồn tại\"" - tốt.",1.6
"\""Trong đó là một bệnh tâm thần, bây giờ họ đang dạy bạn điều gì?\""","Anh ta nói rằng đó là một căn bệnh tâm thần trong , sự cố chấp đó như thế nào?",1.6
"Landon: Và đây là Giáng sinh, tất cả chúng ta đều là những con tàu chứa đầy nhiều điều kỳ diệu.",Chơi với lửa Tất cả chúng ta đều là những con tàu chứa đầy nhiều điều kỳ diệu.,1.8
Bush không nhận được tín dụng nào cho ngân sách dưới thời ông.,"Và, Obama không nhận được tín dụng nào cho ngân sách dưới thời ông.",1.8
. Những người tội lỗi không được lên thiên đàng.,Hoặc tội lỗi được loại bỏ khi vào thiên đàng.,1.8
Bao lâu sau khi xóa sổ đứa trẻ nên trở lại trường học?,Bao lâu sau khi xóa sổ nó không còn làm phiền đứa trẻ nữa?,3.0
Holly Holy Chúng ta là tất cả những con tàu chứa đầy nhiều điều kỳ diệu.,Nói những gì bạn sẽ Chúng ta là tất cả các tàu chứa đầy nhiều điều kỳ diệu.,3.8
"\""Câu trả lời\"" ở Chicago là gì?",Phản ứng ở California sẽ như thế nào?,1.2
Toàn bộ sự việc không có ý nghĩa.,Thấy điều đó không có ý nghĩa.,4.2
Ai được cho là đã vận hành các phòng hơi ngạt giết người?,Làm mới trí nhớ của bạn: Ai được cho là đã vận hành các phòng hơi ngạt giết người?,4.8
"Do đó, lời giải thích về sự tồn tại của vũ trụ là Thượng đế.","Nếu vũ trụ có một lời giải thích về sự tồn tại của nó, lời giải thích đó là Chúa.",3.6
Khuynh hướng di truyền đối với kháng ung thư là di truyền vượt trội.,Khuynh hướng di truyền đối với bệnh Alzheimer là di truyền kém hơn.,1.4
Bạn có nhận thấy những điều vô nghĩa mà bạn đang nói không?,"Và công bằng mà nói, bạn có nhận thấy những điều vô nghĩa mà bạn đang nói không?",4.57142857142857
Sử dụng vũ lực để bảo vệ người.-A,Sử dụng vũ lực của kẻ xâm lược.,1.2
Đó là những gì dữ liệu có sẵn cho thấy.,Đó là những gì ghi chép lịch sử cho thấy.,3.6
Niềm vui cho thế giới Tất cả chúng ta đều là những con tàu chứa đầy nhiều điều kỳ diệu.,Bài hát chủ đề cho Cheers: Tất cả chúng ta đều là những con tàu chứa đầy nhiều điều kỳ diệu.,3.0
Tôi nghĩ đó chủ yếu chỉ là người Hà Lan.,"Trên thực tế, đó chỉ là người Hà Lan.",2.6
Tôi xem bọn trẻ chơi đùa.,Tôi thích xem trẻ em chơi.,2.2
"David @OmSigDAVID, tôi nghĩ Santorum có nhiều khả năng hơn Gingrich.","@sozobe, tôi nghĩ Santorum có nhiều khả năng hơn Gingrich.",4.8
Họ đang nhìn nhau!,Tại sao họ lại nhìn nhau như vậy ?!?!,2.8
Bạn đang lái một chiếc?,Bạn đang lái một chiếc Volt chết tiệt?,2.6
Tôn giáo làm điều đó tôi có vấn đề.,Vô tôn giáo không làm điều đó tôi không có vấn đề gì.,1.4
Tôi nghĩ ông ấy sẽ tốt hơn cho lợi ích kinh doanh của Mỹ nói chung.,Liệu ông ấy có tốt hơn cho xã hội Mỹ?,1.6
không phải là vấn đề hiến pháp.,"Một lần nữa, đây không phải là một vấn đề hiến pháp.",4.4
ĐỒ NGỐC.. mua che đậy.. móc..,Hi Eots: ĐỒ NGỐC.. mua che đậy.. móc..,4.2
"\""Ép số một làm gì?\""","\""Nhấn số một làm tiếng Anh.\""",1.6
Đó sẽ là niềm tin gì?,Niềm tin nào bạn nói về trước đây?,4.4
"Ban đầu được đăng bởi spikdboy Không mơ tưởng, khá thực tế.","Ban đầu được đăng bởi chủ nghĩa khách quan Không phải mơ tưởng, khá thực tế.",3.8
"Lần thứ một nghìn tỷ, tôi chưa bao giờ nói phục hồi chức năng không hiệu quả.","Điểm bạn trích dẫn nên nói \""Tôi chưa bao giờ nói phục hồi chức năng không bao giờ có thể hoạt động.\""",3.4
Charlie Rangel bị kiểm duyệt Có ai xem đoạn phim này không?,Có ai xem đoạn phim này không?,3.0
Tháng Mười Đỏ đứng bên cạnh.,Cáo đỏ đứng bên cạnh.,2.0
Đó không phải là cách viết tóm tắt pháp lý.,Đó không phải là cách lý luận pháp lý hoạt động.,3.2
"Không, không có yếu tố nào trong số đó giải thích cho sự nóng lên gần đây.",Bạn không biết liệu những yếu tố đó có giải thích cho sự nóng lên hay không.,3.0
Stone thông báo cho thuyền trưởng Lord.,Anh ta cũng thông báo cho thuyền trưởng Lord.,3.4
"Trọng tâm chính của phép biện chứng hệ thống là đồng thời mãn tính, không phải mãn tính.","Như vậy, Meta - Hệ thống - Biện chứng atic là Diachronico - Biện chứng đồng bộ.",2.2
Bạn đang lái một chiếc?,Bạn đang lái một chiếc Volt chết tiệt?,2.6
Và điều đó đang xảy ra ở các bang do GOP kiểm soát.,Michigan LÀ một tiểu bang do GOP kiểm soát.,0.8
trong lưu vực Foxe đã bị đóng băng., Foxe hầu như bị đóng băng.,4.2
"@Frank Apisa, Frank, tôi quan sát và nhận thức.","@cicerone kẻ mạo danh, Frank, tôi quan sát và nhận thức.",4.2
"Chính phủ quyết định những gì mang thai cần phải được thực hiện đủ tháng, đó là tốt.","Chính phủ do thám công dân của chính mình, điều đó tốt.",1.2
Đặt một chút tình yêu trong trái tim của bạn Tất cả chúng ta đều là những con tàu chứa đầy nhiều điều kỳ diệu.,"Landon: Và đây là Giáng sinh, tất cả chúng ta đều là những con tàu chứa đầy nhiều điều kỳ diệu.",2.8
Cao hơn phần trăm nhưng không cao lắm.,Thấp hơn phần trăm nhưng không thấp lắm.,1.0
Những gì không phải là cách những gì đã được bán?,"Nó không phải là cách nó được bán, gb.",1.6
Đức Chúa Trời chắc chắn không tồn tại.,Đức Chúa Trời có lẽ không tồn tại.,2.6
"Hít vào, thở ra, tiếp tục.","Buwhahahaha hít vào, thở ra, tiếp tục.",4.4
Nó là một chỉ số tuyệt vời về biến đổi khí hậu.,Tôi nghĩ rằng tất cả chúng ta đều đồng ý về bản chất của sự thay đổi.,2.0
Điều tuyệt vời khi sống ở đây là có không gian.,Điều tồi tệ là có không gian.,1.8
"Ah ha, ha, ha, ha, ha!","Ha, ha, ha, ha, ha, ha!",4.5
Tôi không hiểu tự do ngôn luận sẽ bị cấm như thế nào.,Quyền tự do ngôn luận của các bạn sẽ không còn bị cấm đoán như ngày nay.,3.8
Câu hỏi cần phải được hỏi.,Đó là một câu hỏi cần được trả lời.,3.2
Bạn có ý định coi trọng cuộc sống rất nặng nề.,Tôi có ý định đánh giá rất cao mạng sống con người.,2.8
Các bài viết phá hoại.,Các bài viết muỗi.,1.8
Tôi không muốn một tổng thống 'quan tâm'.,Không muốn một tổng thống có lòng trắc ẩn.,4.6
Bạn có bất cứ điều gì để làm cho nó ít hấp dẫn hơn hay không?,Bạn có bất cứ điều gì để làm cho nó hấp dẫn hơn?,2.4
"Lần thứ một nghìn tỷ, tôi chưa bao giờ nói phục hồi chức năng không hiệu quả.","Điểm bạn trích dẫn nên nói \""Tôi chưa bao giờ nói phục hồi chức năng không bao giờ có thể hoạt động.\""",3.4
Khí cổ điển Chúng ta đều là những con tàu chứa đầy nhiều điều kỳ diệu.,Thời gian của mùa giải bởi Zombies Chúng ta đều là những con tàu chứa đầy nhiều điều kỳ diệu.,2.4
"Vì vậy, chúng tôi đồng ý rằng nó đã rơi xuống cơ bản trong rơi tự do?",Chúng ta có đồng ý rằng chúng rơi xuống về cơ bản là rơi tự do không?,4.0
Những người sự sống không muốn một người phụ nữ có thể chọn phá thai cho chính mình.,Những người ủng hộ sự lựa chọn không cố gắng ép buộc phá thai đối với bất kỳ ai.,1.0
"Vì vậy, hãy trả lời câu hỏi.",Ngừng né tránh câu hỏi.,3.4
Haiti là một hố phân.,Haiti đã là một hố phân.,4.2
Tôi hoàn toàn tin rằng có một tảng băng trôi trong vùng biển đó.,Tôi không tin rằng có bất kỳ tảng băng trôi nào ở bất cứ đâu gần tàu Titanic.,1.2
The Face Of The Franchise: Phần tồi tệ nhất là anh ấy thậm chí không phải là một fan hâm mộ của Leafs!,Điều tồi tệ nhất là anh ấy thậm chí không phải là một fan hâm mộ của Leafs!,4.4
Tôi hoàn toàn đồng ý rằng tôi hy vọng ông ấy sẽ bước vào nhiệm kỳ thứ hai.,Tôi hy vọng ông ấy sẽ bước vào nhiệm kỳ thứ hai.,4.0
Jake với pha kiến tạo.,Voracek với bàn thắng.,0.4
Có thể nhà của anh ấy bị ảnh hưởng và trường học thì không?,"Chắc chắn, có thể nhà của anh ta bị ảnh hưởng, nhưng không phải trường học.",3.2
Mọi người đã thức tỉnh.,Bởi vì mọi người đã thức tỉnh.,4.2
"Umm, California là một con tàu chở hàng, tôi không quan tâm bài báo nói gì.",California là một tàu chở hàng.,4.0
"Umm, điều đó nói khá rõ ràng, \""Quy chế được coi là hợp hiến.\""","Và cho đến khi họ quyết định rằng, \""đạo luật được coi là hợp hiến.\""",2.6
Florida Sự thiếu hiểu biết là của bạn!,Sự thiếu hiểu biết là của bạn!,3.4
Tôi sẽ hét lên đòi công lý cho Trayvon.,Những người la hét đòi công lý cho Trayvon đều là những kẻ đạo đức giả.,1.6
Làm thế nào để bạn biết điều gì là đúng và sai?,Làm thế nào để bạn biết câu chuyện nào là đúng?,2.2
"Ha, ha, ha, ha, ha, ha!","Ah ha, ha, ha, ha, ha!",5.0
Và Nugent hoàn toàn là một kẻ ngốc khi nói những gì anh ta nói.,Natalie hoàn toàn là một kẻ ngốc khi xúc phạm cơ sở người hâm mộ của họ.,0.6
Tất cả đều là lỗi của Bush.,Obama là lỗi của Bush.,1.2
Bạn nên ngừng tiền tố hoặc hậu tố mọi thứ với bạn ghét người Do Thái.,"Tôi không có tiền tố hay hậu tố mọi thứ bằng \""bạn ghét người Do Thái\"".",2.4
Tôi đã bỏ lỡ điểm mà anh ấy nói rằng người da đen sẽ nổi loạn.,"Chưa bao giờ, tôi chưa bao giờ, tôi nói rằng người da đen sẽ nổi loạn.",2.4
"Tuy nhiên, bạn không phải khai báo nó.",Và bạn đã không phải làm vậy.,2.0
Châm ngôn John the Baptist là một người Nazarite từ khi sinh ra.,John the Baptist là một người Nazarite từ khi sinh ra.,4.6
James : nói rằng đức tin mà không có việc làm là chết.,Phao-lô không rao giảng đức tin mà không có việc làm.,2.2
 tỷ. Tất cả mọi người trên thế giới ở mức độ thịnh vượng hiện tại của Mexico.,"Tất cả mọi người trên thế giới ở mức độ \""thịnh vượng\"" hiện tại của Tây Bắc Phi.",1.53333333333333
và video Dữ liệu địa chấn không bằng thời gian sụp đổ.,Dữ liệu địa chấn không bằng thời gian sụp đổ.,4.6
Ban đầu được đăng bởi Lone Fox Bạn đã nói điều đó nhiều lần bây giờ.,Ban đầu được đăng bởi Lone Fox Và nó cũng không phải là tất cả liên quan đến Iran.,2.2
"Bạn có thể không thích quan điểm của Obama, nhưng ông ấy có chúng.","Bạn có thể không thích các vị trí mà anh ấy nắm giữ, nhưng ít nhất anh ấy có chúng.",2.6
Nhưng bạn có thực sự tin rằng có một tảng băng trôi trong vùng biển đó không?,Tôi hoàn toàn tin rằng có một tảng băng trôi trong vùng biển đó.,3.0
Đơn giản là không có chiến thắng cho Obama trong số những người bảo thủ.,Điều này là giàu có đến từ một người bảo thủ.,1.4
